id,authors,original_title,title,language_code
5446,Dr. Seuss,Yertle the Turtle (Classic Seuss),Yertle the Turtle and Other Stories,eng
5447,Camron Wright,,The Rent Collector,eng
5448,Rohinton Mistry,Family Matters,Family Matters,eng
5449,Harvey Karp,The Happiest Baby on the Block,The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer,eng
5450,"Penelope Douglas, Nelson Hobbs",Until You,"Until You (Fall Away, #1.5)",
5451,Dee Lestari,Perahu Kertas,Perahu Kertas,ind
5452,Gordon Korman,Schooled,Schooled,en-US
5453,"Dallas Hartwig, Melissa Hartwig",It Starts with Food: Discover the Whole30 and Change Your Life in Unexpected Ways,It Starts with Food: Discover the Whole30 and Change Your Life in Unexpected Ways,en-US
5454,Ted Kerasote,Merle's Door: Lessons from a Freethinking Dog,Merle's Door: Lessons from a Freethinking Dog,en-US
5455,Gary Paulsen,Brian's Winter,"Brian's Winter (Brian's Saga, #3)",en-US
5456,Julia Alvarez,How the Garcia Girls Lost Their Accents ,How the García Girls Lost Their Accents ,eng
5457,"J. Lynn, Jennifer L. Armentrout",Be with Me,"Be with Me (Wait for You, #2)",eng
5458,Louisa May Alcott,"Jo's Boys, and How They Turned Out: A Sequel to ""Little Men""","Jo's Boys (Little Women, #3)",eng
5459,Harlan Coben,Home ,Home (Myron Bolitar #11),eng
5460,Charles Bukowski,Notes of a Dirty Old Man,Notes of a Dirty Old Man,eng
5461,"Jussi Adler-Olsen, K.E. Semmel",Fasandræberne,"The Absent One (Department Q, #2)",eng
5462,James McBride,The Good Lord Bird,The Good Lord Bird,eng
5463,Susan Cooper,Greenwitch,"Greenwitch (The Dark Is Rising, #3)",eng
5464,"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 5: The Best Defense","The Walking Dead, Vol. 05: The Best Defense",en-GB
5465,Elizabeth Chandler,,"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)",eng
5466,Abbi Glines,"Take a Chance (Chance, #1)","Take a Chance (Rosemary Beach, #7; Chance, #1)",eng
5467,Daniel Silva,Portrait of a Spy,"Portrait of a Spy (Gabriel Allon, #11)",eng
5468,Kate Atkinson,One Good Turn,"One Good Turn (Jackson Brodie, #2)",en-US
5469,Clive Barker,Abarat,"Abarat (Abarat, #1)",en-US
5470,Arthur C. Clarke,2061: Odyssey Three,"2061: Odyssey Three (Space Odyssey, #3)",eng
5471,"Marshall Goldsmith, Mark Reiter",What Got You Here Won't Get You There: How Successful People Become Even More Successful,What Got You Here Won't Get You There: How Successful People Become Even More Successful,
5472,Richard Paul Evans,The Walk,"The Walk (The Walk, #1)",en-US
5473,Claudia Gray,Afterlife,"Afterlife (Evernight, #4)",en-US
5474,Nick Hornby,Slam,Slam,en-US
5475,Robin LaFevers,"Dark Triumph (His Fair Assassin, #2)","Dark Triumph (His Fair Assassin, #2)",eng
5476,Kwame Alexander,The Crossover,The Crossover,eng
5477,Andrea Hirata,Edensor,"Edensor (Tetralogi Laskar Pelangi, #3)",ind
5478,Alan Hollinghurst,The Line of Beauty,The Line of Beauty,eng
5479,Susanna Kearsley,The Rose Garden,The Rose Garden,eng
5480,Frank E. Peretti,Monster,Monster,en-US
5481,Daniel Silva,The English Assassin,"The English Assassin (Gabriel Allon, #2)",en-US
5482,Chuck Klosterman,Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,en-US
5483,Peter F. Drucker,The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),
5484,"Kieron Gillen, Jamie McKelvie, Matt Wilson, Clayton Cowles","The Wicked + The Divine, Vol. 1: The Faust Act","The Wicked + The Divine, Vol. 1: The Faust Act",eng
5485,Dean Koontz,Innocence,Innocence,eng
5486,John Sandford,Dark of the Moon,"Dark of the Moon (Virgil Flowers, #1)",en-US
5487,"Esther Hicks, Jerry Hicks",The Law of Attraction: The Basics of the Teachings of Abraham,The Law of Attraction: The Basics of the Teachings of Abraham,
5488,Alexandra Bracken,In The Afterlight,"In The Afterlight (The Darkest Minds, #3)",eng
5489,Aimee Carter,Goddess Interrupted,"Goddess Interrupted (Goddess Test, #2)",eng
5490,"Holly Black, Tony DiTerlizzi",Lucinda’s Secret,"Lucinda's Secret (The Spiderwick Chronicles, #3)",eng
5491,"Beverly Cleary, Tracy Dockray",Henry Huggins,"Henry Huggins (Henry Huggins, #1)",eng
5492,"Russell Hoban, Garth Williams",Bedtime for Frances,Bedtime for Frances,eng
5493,"Tetsuko Kuroyanagi, Chihiro Iwasaki, Dorothy Britton",窓ぎわのトットちゃん,Totto-chan: The Little Girl at the Window,eng
5494,Joe Abercrombie,Half the World,"Half the World (Shattered Sea, #2)",eng
5495,Roger Lowenstein,When Genius Failed: The Rise and Fall of Long-Term Capital Management,When Genius Failed: The Rise and Fall of Long-Term Capital Management,en-US
5496,Natalie Goldberg,Writing Down the Bones: Freeing the Writer Within,Writing Down the Bones: Freeing the Writer Within,eng
5497,Darren Shan,"Hunters of the Dusk (Cirque Du Freak, #7)","Hunters of the Dusk (Cirque Du Freak, #7)",
5498,Tad Williams,City of Golden Shadow,"City of Golden Shadow (Otherland, #1)",eng
5499,Charlaine Harris,An Ice Cold Grave,"An Ice Cold Grave (Harper Connelly, #3)",eng
5500,Katherine Paterson,Jacob Have I Loved,Jacob Have I Loved,eng
5501,"James Patterson, Liza Marklund",The Postcard Killers,The Postcard Killers,eng
5502,"Julietta Suzuki, Tomo Kimura",神様はじめました 1,"Kamisama Kiss, Vol. 1",eng
5503,Colleen Hoover,Maybe Not,"Maybe Not (Maybe, #1.5)",en-US
5504,D.J. MacHale,Black Water,"Black Water (Pendragon, #5)",eng
5505,Agatha Christie,Five Little Pigs,"Five Little Pigs (Hercule Poirot, #24)",eng
5506,China Miéville,Embassytown,Embassytown,eng
5507,Dean Koontz,By the Light of the Moon,By the Light of the Moon,
5508,Arthur Conan Doyle,"Sherlock Holmes: The Complete Novels and Stories, Volume I","Sherlock Holmes: The Complete Novels and Stories, Volume I",eng
5509,Dorothy L. Sayers,Strong Poison,"Strong Poison (Lord Peter Wimsey, #6)",eng
5510,Gary Larson,The Far Side Gallery,The Far Side Gallery,eng
5511,Julie Kagawa,The Eternity Cure,"The Eternity Cure (Blood of Eden, #2)",eng
5512,J.D. Robb,Holiday in Death,"Holiday in Death (In Death, #7)",eng
5513,Tarryn Fisher,Thief,"Thief (Love Me with Lies, #3)",eng
5514,Aron Ralston,Between a Rock and a Hard Place,Between a Rock and a Hard Place,en-US
5515,David Gemmell,Legend ,"Legend (The Drenai Saga, #1)",en-US
5516,Sheila Turnage,,"Three Times Lucky (Tupelo Landing, #1)",eng
5517,Meg Cabot,"Every Boy's Got One (Boy, #3)","Every Boy's Got One (Boy, #3)",en-GB
5518,Ann Rule,Small Sacrifices: A True Story of Passion and Murder,Small Sacrifices: A True Story of Passion and Murder,eng
5519,Chris Bohjalian,,The Guest Room,eng
5520,"Avery Monsen, Jory John",All My Friends Are Dead,All My Friends Are Dead,eng
5521,Matthew Reilly,The Six Sacred Stones,"The Six Sacred Stones (Jack West Jr, #2)",eng
5522,Nora Roberts,Rising Tides (Chesapeake Bay Saga #2),"Rising Tides (Chesapeake Bay Saga, #2)",en-US
5523,Tite Kubo,Bleach―ブリーチ― 15,"Bleach, Volume 15",eng
5524,"Johnny Cash, Patrick   Carr",Cash: The Autobiography of Johnny Cash,Cash,en-US
5525,Sidney Sheldon,A Stranger in the Mirror,A Stranger In The Mirror,eng
5526,Carl Hiaasen,Flush,Flush,en-US
5527,"Isak Dinesen, Karen Blixen",Out of Africa,Out of Africa,eng
5528,Robert Crais,The Watchman,"The Watchman (Elvis Cole, #11; Joe Pike, #1)",en-US
5529,Nassim Nicholas Taleb,Antifragile: Things That Gain from Disorder,Antifragile: Things That Gain from Disorder,eng
5530,Molly McAdams,,"From Ashes (From Ashes, #1)",en-GB
5531,Sam Harris,Free Will,Free Will,eng
5532,Marieke Nijkamp,This Is Where It Ends,This Is Where It Ends,eng
5533,Rachel Vincent,Stray,"Stray (Shifters, #1)",eng
5534,Elin Hilderbrand,A Summer Affair,A Summer Affair,
5535,Rebecca Stead,Liar & Spy,Liar & Spy,eng
5536,"Brian Jacques, Gary Chalk",Mariel of Redwall,"Mariel of Redwall (Redwall, #4)",
5537,Steven Pinker,The Blank Slate: The Modern Denial of Human Nature,The Blank Slate: The Modern Denial of Human Nature,eng
5538,Peter F. Hamilton,The Dreaming Void,The Dreaming Void,en-US
5539,Meg Cabot,Being Nikki,"Being Nikki (Airhead, #2)",eng
5540,"William Shakespeare, Cynthia Marshall, Barbara A. Mowat, Paul Werstine",The Tragedie of Antony and Cleopatra,Antony and Cleopatra,eng
5541,Margaret Peterson Haddix,"Among the Impostors (Shadow Children, #2)","Among the Impostors (Shadow Children, #2)",en-US
5542,Christopher Pike,The Eternal Dawn,"Thirst No. 3: The Eternal Dawn (Thirst, #3)",en-US
5543,Zane,Addicted,Addicted,eng
5544,Kristen Simmons,Article 5,"Article 5 (Article 5, #1)",en-US
5545,"Randy Shilts, William Greider","And the Band Played On: Politics, People, and the AIDS Epidemic","And the Band Played On: Politics, People, and the AIDS Epidemic",
5546,Laurelin Paige,Found in You,"Found in You (Fixed, #2)",eng
5547,Lara Adrian,Midnight Rising,"Midnight Rising (Midnight Breed, #4)",eng
5548,Karin Slaughter,Kisscut,"Kisscut (Grant County, #2)",eng
5549,"Miranda July, Brigitte Sire",,It Chooses You,eng
5550,"Hubert Selby Jr., Gilbert Sorrentino",Last Exit to Brooklyn,Last Exit to Brooklyn,eng
5551,"Mario Vargas Llosa, Edith Grossman",La fiesta del chivo,The Feast of the Goat,eng
5552,Jordan Sonnenblick,"Drums, Girls & Dangerous Pie","Drums, Girls & Dangerous Pie (Drums, Girls & Dangerous Pie, #1)",eng
5553,Miranda July,The First Bad Man,The First Bad Man,eng
5554,Tad Williams,To Green Angel Tower (Storm),"To Green Angel Tower, Part 2 (Memory, Sorrow, and Thorn, #3; Part 2)",eng
5555,Jay Crownover,Jet,"Jet (Marked Men, #2)",eng
5556,John Banville,The Sea,The Sea,eng
5557,"James Patterson, David Ellis",Invisible,Invisible,eng
5558,Dean Koontz,Mr. Murder,Mr. Murder,eng
5559,Gail Carriger,Changeless,"Changeless (Parasol Protectorate, #2)",eng
5560,L.E. Modesitt Jr.,The Magic of Recluce,The Magic of Recluce (The Saga of Recluce #1),eng
5561,John Jakes,"The Bastard (Kent Family Chronicles, Vol. 1)","The Bastard (Kent Family Chronicles, #1)",en-GB
5562,Ben H. Winters,The Last Policeman,"The Last Policeman (The Last Policeman, #1)",eng
5563,George R. Stewart,Earth Abides,Earth Abides,eng
5564,"Douglas Preston, Lincoln Child",Thunderhead,Thunderhead,eng
5565,Darren Shan,"Allies of the Night (Cirque Du Freak, Book 8)","Allies of the Night (Cirque du Freak, #8)",
5566,Thea Harrison,Dragon bound,"Dragon Bound (Elder Races, #1)",eng
5567,L.M. Montgomery,Rainbow Valley,"Rainbow Valley (Anne of Green Gables, #7)",eng
5568,Stephen King,The Colorado Kid,The Colorado Kid (Hard Case Crime #13),eng
5569,"Diane Mowat, W.W. Jacobs",The Monkey's Paw,The Monkey's Paw (Oxford Bookworms),eng
5570,John Saul,Darkness,Darkness,
5571,"Jerry Bridges, Foster W. Cline, Jim Fay",The Pursuit of Holiness,The Pursuit of Holiness,eng
5572,Lisa Kleypas,Again the Magic ,"Again the Magic (Wallflowers, #0)",eng
5573,Anne Rivers Siddons,Low Country,Low Country,eng
5574,Jennifer Donnelly,Revolution,Revolution,eng
5575,Eric S. Nylund,The Fall of Reach,Halo: The Fall of Reach,eng
5576,Kim Harrison,,"Ever After (The Hollows, #11)",eng
5577,Frank De Felitta,Audrey Rose,Audrey Rose,
5578,Nathan  Hill,The Nix,The Nix,eng
5579,Sophie Jordan,Vanish,"Vanish (Firelight, #2)",en-US
5580,Bill Watterson,The Calvin and Hobbes Lazy Sunday Book,The Calvin and Hobbes Lazy Sunday Book,eng
5581,J. Sheridan Le Fanu,Carmilla,Carmilla,eng
5582,Garth Nix,Drowned Wednesday,"Drowned Wednesday (The Keys to the Kingdom, #3)",en-US
5583,Melina Marchetta,Saving Francesca,Saving Francesca,eng
5584,K.A. Linde,Avoiding Commitment,"Avoiding Commitment (Avoiding, #1)",eng
5585,"James Patterson, Maxine Paetro",Confessions of a murder suspect,"Confessions of a Murder Suspect (Confessions, #1)",eng
5586,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",Y: The Last Man Vol. 6: Girl on Girl,"Y: The Last Man, Vol. 6: Girl on Girl (Y: The Last Man, #6)",eng
5587,Chris Bohjalian,Skeletons at the Feast,Skeletons at the Feast,
5588,Sue Grafton,L is for Lawless,"L is for Lawless (Kinsey Millhone, #12)",
5589,Jerry Spinelli,Milkweed,Milkweed,eng
5590,"Laura Joffe Numeroff, Felicia Bond",If You Give a Pig a Party (If You Give...),If You Give a Pig a Party,
5591,William Gibson,Virtual Light,"Virtual Light (Bridge, #1)",eng
5592,Craig Ferguson,American on Purpose,American on Purpose: The Improbable Adventures of an Unlikely Patriot,eng
5593,Michael J. Fox,Always Looking Up: The Adventures of an Incurable Optimist,Always Looking Up: The Adventures of an Incurable Optimist,en-US
5594,Sarah MacLean,Nine Rules to Break When Romancing a Rake,"Nine Rules to Break When Romancing a Rake (Love By Numbers, #1)",en-US
5595,Charlotte Rogan,The Lifeboat,The Lifeboat,eng
5596,"Henryk Sienkiewicz, W.S. Kuniczak",Quo vadis?,Quo Vadis,eng
5597,Amy Ewing,The Jewel,"The Jewel (The Lone City, #1)",eng
5598,Chris d'Lacey,The Fire Within,"The Fire Within (The Last Dragon Chronicles, #1)",eng
5599,"Raymond E. Feist, Janny Wurts","Servant of the Empire (The Empire Trilogy, #2)","Servant of the Empire (The Empire Trilogy, #2)",eng
5600,Nora Roberts,The Hollow,"The Hollow (Sign of Seven, #2)",en-US
5601,"Deborah Guarino, Steven Kellogg",Is Your Mama A Llama?,Is Your Mama a Llama?,
5602,Anna Todd,After We Collided,"After We Collided (After, #2)",eng
5603,Jacob Tomsky,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality","Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality",
5604,Tony Horwitz,Confederates in the Attic: Dispatches from the Unfinished Civil War,Confederates in the Attic: Dispatches from the Unfinished Civil War,eng
5605,David Wong,,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It (John Dies at the End, #2)",en-US
5606,"Robert Descharnes, Gilles Néret",Dali: The Paintings,Dali: The Paintings,
5607,Matthew Reilly,Seven Ancient Wonders,"Seven Deadly Wonders (Jack West Jr, #1)",eng
5608,Cherrie Lynn,,"Unleashed (Ross Siblings, #1)",eng
5609,Laurell K. Hamilton,Mistral's Kiss,"Mistral's Kiss (Merry Gentry, #5)",en-US
5610,Stephen R. Covey,,The 8th Habit: From Effectiveness to Greatness,en-US
5611,Larissa Ione,Desire Unchained (Shadow Lover),Desire Unchained (Demonica #2),eng
5612,"Dean Koontz, Leigh Nichols",Cold Fire ; Hideaway; The Key to Midnight,Cold Fire / Hideaway / The Key to Midnight,eng
5613,Dan Wells,"I Am Not A Serial Killer (John Cleaver, #1)","I Am Not A Serial Killer (John Cleaver, #1)",eng
5614,Laura Dave,Eight Hundred Grapes,Eight Hundred Grapes,
5615,Fannie Flagg,"Welcome to the World, Baby Girl!","Welcome to the World, Baby Girl! (Elmwood Springs, #1)",eng
5616,Irvine Welsh,Filth,Filth,eng
5617,Lori Lansens,The Girls,The Girls,eng
5618,Janet Evanovich,Turbo Twenty-Three,"Turbo Twenty-Three (Stephanie Plum, #23)",eng
5619,Sandra Brown,The Alibi,The Alibi,eng
5620,Wiley Cash,A Land More Kind Than Home,A Land More Kind Than Home,eng
5621,Ann M. Martin,Kristy's Great Idea,"Kristy's Great Idea (The Baby-Sitters Club, #1)",eng
5622,Roland Smith,,"Shatterproof (The 39 Clues: Cahills vs. Vespers, #4)",
5623,Sheri  Fink,,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,eng
5624,"Henning Mankell, Steven T. Murray",Den femte kvinnan,"The Fifth Woman (Kurt Wallander, #6)",eng
5625,Sarah Vowell,The Wordy Shipmates,The Wordy Shipmates,en-US
5626,"Guy de Maupassant, Douglas Parmée",Bel-Ami,Bel-Ami,eng
5627,Norman Maclean,A River Runs Through It and Other Stories,A River Runs Through It and Other Stories,eng
5628,"María Dueñas, Daniel Hahn",El tiempo entre costuras,The Time in Between,eng
5629,Toni Morrison,,Paradise,eng
5630,William Gibson,Idoru,Idoru (Bridge #2),eng
5631,Kristan Higgins,The Best Man,"The Best Man (Blue Heron, #1)",eng
5632,Diana Wynne Jones,Castle in the Air,"Castle in the Air (Howl's Moving Castle, #2)",
5633,Jude Watson,A King's Ransom,"A King's Ransom (The 39 Clues: Cahills vs. Vespers, #2)",eng
5634,Deborah Blum,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,en-US
5635,Penelope Ward,RoomHate,RoomHate,eng
5636,Elizabeth Scott,Living Dead Girl,Living Dead Girl,en-US
5637,"Anonymous, Ananda Maitreya, Thich Nhat Hanh, Balangoda Ananda Maitreya Maitreya",धर्मपद [Dhammapada],The Dhammapada,eng
5638,Kristen Ashley,Law Man,"Law Man (Dream Man, #3)",en-US
5639,Kathy Reichs,Deadly Décisions,"Deadly Decisions (Temperance Brennan, #3)",en-US
5640,Brené Brown,Rising Strong,Rising Strong,en-GB
5641,Alan Bradley,Speaking from Among the Bones,"Speaking from Among the Bones (Flavia de Luce, #5)",eng
5642,"James Patterson, Maxine Paetro",Swimsuit,Swimsuit,eng
5643,Elisabeth Elliot,Through Gates of Splendor,Through Gates of Splendor,en-US
5644,Tarryn Fisher,Dirty Red,"Dirty Red (Love Me with Lies, #2)",eng
5645,Holly Black,The Darkest Part of the Forest,The Darkest Part of the Forest,eng
5646,Susan Elizabeth Phillips,Dream a Little Dream,"Dream a Little Dream (Chicago Stars, #4)",en-US
5647,"خالد الخميسي, Khaled Al Khamissi",تاكسي: حواديت المشاوير,تاكسي: حواديت المشاوير,ara
5648,Gail Tsukiyama,The Samurai's Garden,The Samurai's Garden,en-US
5649,Sally   Thorne,The Hating Game,The Hating Game,eng
5650,Julia Heaberlin,Black-Eyed Susans,Black-Eyed Susans,eng
5651,Penny Reid,Neanderthal Seeks Human,"Neanderthal Seeks Human (Knitting in the City, #1)",eng
5652,"Scott Westerfeld, Keith Thompson",Goliath,"Goliath (Leviathan, #3)",eng
5653,"Akira Amano, JN Productions, Frances E. Wall",家庭教師ヒットマンREBORN! 1,"Reborn! Vol. 01: Reborn Arrives! (Reborn!, #1)",
5654,Karin Slaughter,Criminal,"Criminal (Will Trent, #6)",eng
5655,Tom Clancy,The Bear and the Dragon,"The Bear and the Dragon (Jack Ryan Universe, #11)",en-US
5656,Sue Grafton,W is for Wasted,"W is for Wasted (Kinsey Millhone, #23)",eng
5657,Alton Brown,I'm Just Here for the Food: Food + Heat = Cooking,I'm Just Here for the Food: Food + Heat = Cooking,en-US
5658,James Herriot,Vets Might Fly and Vet in a Spin,All Things Wise and Wonderful,
5659,Sherrilyn Kenyon,Sins of the Night,Sins of the Night (Dark-Hunter #7),eng
5660,Beth Revis,Shades of Earth,"Shades of Earth (Across the Universe, #3)",eng
5661,Ursula K. Le Guin,Tehanu,"Tehanu (Earthsea Cycle, #4)",eng
5662,Amy Tintera,Reboot,"Reboot (Reboot, #1)",eng
5663,Carrie Brownstein,Hunger Makes Me a Modern Girl,Hunger Makes Me a Modern Girl,eng
5664,Jon Meacham,Thomas Jefferson: The Art of Power,Thomas Jefferson: The Art of Power,eng
5665,Agatha Christie,Murder in Mesopotamia,"Murder in Mesopotamia (Hercule Poirot, #14)",eng
5666,Iain M. Banks,Excession,"Excession (Culture, #5)",en-US
5667,Pearl Cleage,What Looks Like Crazy on an Ordinary Day,"What Looks Like Crazy on an Ordinary Day (Idlewild, #1)",eng
5668,Sue Grafton,G is for Gumshoe,"G is for Gumshoe (Kinsey Millhone, #7)",eng
5669,David Baldacci,King & Maxwell,"King and Maxwell (Sean King & Michelle Maxwell, #6)",eng
5670,Irvin D. Yalom,Love's Executioner & Other Tales of Psychotherapy,Love's Executioner and Other Tales of Psychotherapy,
5671,Trudi Canavan,The Magician's Apprentice,"The Magician's Apprentice (Black Magician, #0.5)",eng
5672,Steven Erikson,Reaper's Gale,"Reaper's Gale (The Malazan Book of the Fallen, #7)",eng
5673,Frank E. Peretti,The Visitation,The Visitation,
